age,salary,sex,birth_state,college,degree,occupation,biography
25,75,male,texas,ohio state university,associate,healthcare practitioner,"This male individual is in the early career stage. He earns a comfortable income. He was born in texas and completed higher education at ohio state university, earning a associate degree. He works as a healthcare practitioner."
59,122,female,california,ohio state university,bachelor,education professional,"This female individual is in the advanced career stage. She earns a strong professional income. She was born in california and completed higher education at ohio state university, earning a bachelor degree. She works as a education professional."
53,124,female,texas,houston community college,master,software developer,"This female individual is in the advanced career stage. She earns a strong professional income. She was born in texas and completed higher education at houston community college, earning a master degree. She works as a software developer."
42,79,male,georgia,university of central florida,associate,research specialist,"This male individual is in the established career stage. He earns a comfortable income. He was born in georgia and completed higher education at university of central florida, earning a associate degree. He works as a research specialist."
42,88,male,illinois,university of central florida,associate,construction professional,"This male individual is in the established career stage. He earns a comfortable income. He was born in illinois and completed higher education at university of central florida, earning a associate degree. He works as a construction professional."
63,125,male,new york,university of central florida,bachelor,creative content professional,"This male individual is in the late career stage. He earns a strong professional income. He was born in new york and completed higher education at university of central florida, earning a bachelor degree. He works as a creative content professional."
25,112,female,texas,university of michigan,bachelor,customer services professional,"This female individual is in the early career stage. She earns a strong professional income. She was born in texas and completed higher education at university of michigan, earning a bachelor degree. She works as a customer services professional."
55,138,female,arizona,houston community college,bachelor,creative content professional,"This female individual is in the advanced career stage. She earns a strong professional income. She was born in arizona and completed higher education at houston community college, earning a bachelor degree. She works as a creative content professional."
31,75,female,florida,santa monica college,associate,customer services professional,"This female individual is in the career-building stage. She earns a comfortable income. She was born in florida and completed higher education at santa monica college, earning a associate degree. She works as a customer services professional."
25,182,male,florida,santa monica college,doctoral,research specialist,"This male individual is in the early career stage. He earns a high-level income. He was born in florida and completed higher education at santa monica college, earning a doctoral degree. He works as a research specialist."
47,82,male,new york,arizona state university,associate,customer services professional,"This male individual is in the established career stage. He earns a comfortable income. He was born in new york and completed higher education at arizona state university, earning a associate degree. He works as a customer services professional."
69,135,female,texas,university of michigan,bachelor,public services coordinator,"This female individual is in the late career stage. She earns a strong professional income. She was born in texas and completed higher education at university of michigan, earning a bachelor degree. She works as a public services coordinator."
57,129,male,georgia,ohio state university,bachelor,construction professional,"This male individual is in the advanced career stage. He earns a strong professional income. He was born in georgia and completed higher education at ohio state university, earning a bachelor degree. He works as a construction professional."
59,141,female,colorado,university of michigan,bachelor,education professional,"This female individual is in the advanced career stage. She earns a strong professional income. She was born in colorado and completed higher education at university of michigan, earning a bachelor degree. She works as a education professional."
56,185,male,florida,harvard university,doctoral,research specialist,"This male individual is in the advanced career stage. He earns a high-level income. He was born in florida and completed higher education at harvard university, earning a doctoral degree. He works as a research specialist."
